iter	Passed	Remaining
411	3901	5568
412	3910	5558
413	3920	5549
414	3929	5539
415	3938	5529
416	3948	5520
417	3958	5511
418	3967	5501
419	3976	5491
420	3985	5480
421	3994	5470
422	4003	5461
423	4013	5452
424	4022	5442
425	4033	5435
426	4044	5427
427	4053	5417
428	4063	5408
429	4072	5398
430	4081	5388
431	4092	5380
432	4101	5370
433	4110	5360
434	4119	5350
435	4128	5340
436	4137	5330
437	4146	5320
438	4155	5310
439	4165	5300
440	4174	5290
441	4185	5284
442	4195	5275
443	4205	5266
444	4216	5259
445	4226	5250
446	4235	5240
447	4245	5230
448	4254	5220
449	4263	5210
450	4271	5200
451	4280	5189
452	4291	5181
453	4302	5174
454	4312	5165
455	4325	5159
456	4335	5150
457	4346	5144
458	4356	5134
459	4364	5123
460	4374	5114
461	4383	5105
462	4392	5094
463	4402	5085
464	4411	5075
465	4420	5065
466	4430	5056
467	4439	5046
468	4448	5036
469	4457	5026
470	4466	5016
471	4475	5006
472	4484	4995
473	4493	4986
474	4502	4975
475	4511	4966
476	4520	4956
477	4529	4946
478	4539	4937
479	4548	4927
480	4556	4916
481	4566	4907
482	4575	4897
483	4584	4887
484	4594	4878
485	4603	4868
486	4612	4858
487	4622	4849
488	4631	4839
489	4639	4829
490	4648	4819
491	4657	4809
492	4666	4799
493	4675	4789
494	4684	4779
495	4694	4770
496	4703	4760
497	4712	4750
498	4721	4740
499	4731	4731
500	4740	4721
501	4749	4711
502	4758	4701
503	4767	4691
504	4776	4681
505	4785	4671
506	4794	4661
507	4802	4651
508	4811	4641
509	4820	4631
510	4830	4622
511	4841	4614
512	4852	4606
513	4861	4596
514	4870	4587
515	4879	4576
516	4888	4567
517	4897	4556
518	4907	4548
519	4917	4538
520	4928	4531
521	4938	4521
522	4947	4512
523	4956	4502
524	4967	4494
525	4976	4484
526	4985	4474
527	4994	4465
528	5004	4455
529	5013	4445
530	5022	4436
531	5031	4425
532	5040	4416
533	5049	4406
534	5058	4396
535	5067	4386
536	5076	4376
537	5085	4367
538	5094	4357
539	5103	4347
540	5112	4337
541	5121	4327
542	5130	4317
543	5139	4308
544	5148	4298
545	5157	4288
546	5166	4278
547	5175	4269
548	5184	4259
549	5193	4249
550	5202	4239
551	5211	4229
552	5220	4219
553	5229	4209
554	5238	4200
555	5248	4191
556	5257	4181
557	5266	4171
558	5275	4161
559	5285	4152
560	5293	4142
561	5302	4132
562	5311	4122
563	5320	4113
564	5329	4103
565	5338	4093
566	5348	4084
567	5358	4075
568	5368	4066
569	5378	4057
570	5388	4048
571	5397	4038
572	5406	4029
573	5416	4019
574	5425	4010
575	5434	4000
576	5444	3991
577	5453	3981
578	5462	3971
579	5471	3962
580	5480	3952
581	5489	3942
582	5499	3933
583	5508	3923
584	5517	3914
585	5527	3905
586	5536	3895
587	5546	3885
588	5555	3876
589	5563	3866
590	5572	3856
591	5581	3846
592	5590	3837
593	5599	3827
594	5609	3817
595	5618	3808
596	5627	3798
597	5636	3789
598	5645	3779
599	5654	3769
600	5664	3760
601	5673	3750
602	5682	3741
603	5692	3732
604	5701	3722
605	5710	3712
606	5719	3703
607	5728	3693
608	5737	3683
609	5746	3674
610	5756	3665
611	5765	3655
612	5775	3646
613	5785	3637
614	5796	3628
615	5807	3620
616	5817	3611
617	5827	3602
618	5838	3593
619	5847	3584
620	5856	3574
621	5865	3564
622	5875	3555
623	5884	3545
624	5893	3536
625	5902	3526
626	5912	3517
627	5921	3507
628	5930	3497
629	5939	3488
630	5948	3478
631	5957	3468
632	5966	3459
633	5975	3449
634	5984	3439
635	5993	3430
636	6003	3420
637	6012	3411
638	6021	3401
639	6030	3392
640	6039	3382
641	6048	3372
642	6057	3363
643	6066	3353
644	6076	3344
645	6085	3334
646	6094	3325
647	6103	3315
648	6112	3305
649	6121	3296
650	6131	3286
651	6140	3277
652	6149	3267
653	6158	3258
654	6167	3248
655	6176	3238
656	6186	3229
657	6194	3219
658	6204	3210
659	6213	3200
660	6222	3191
661	6231	3181
662	6240	3172
663	6250	3162
664	6260	3153
665	6270	3144
666	6280	3135
667	6290	3126
668	6299	3116
669	6309	3107
670	6319	3098
671	6329	3089
672	6340	3080
673	6349	3070
674	6357	3061
675	6367	3051
676	6376	3042
677	6385	3032
678	6394	3023
679	6403	3013
680	6412	3003
681	6421	2994
682	6430	2984
683	6439	2975
684	6449	2965
685	6458	2956
686	6467	2946
687	6476	2936
688	6485	2927
689	6494	2917
690	6502	2907
691	6511	2898
692	6521	2889
693	6530	2879
694	6539	2869
695	6548	2860
696	6557	2850
697	6566	2840
698	6575	2831
699	6584	2822
700	6593	2812
701	6604	2803
702	6613	2793
703	6622	2784
704	6631	2774
705	6639	2765
706	6648	2755
707	6657	2745
708	6667	2736
709	6677	2727
710	6687	2718
711	6696	2708
712	6705	2699
713	6715	2690
714	6725	2680
715	6734	2671
716	6745	2662
717	6754	2653
718	6764	2643
719	6773	2634
720	6782	2624
721	6793	2615
722	6802	2606
723	6811	2596
724	6820	2587
725	6830	2577
726	6840	2568
727	6851	2559
728	6862	2551
729	6871	2541
730	6880	2532
731	6889	2522
732	6898	2512
733	6907	2503
734	6917	2493
735	6926	2484
736	6935	2475
737	6945	2465
738	6955	2456
739	6965	2447
740	6974	2437
741	6985	2428
742	6995	2419
743	7004	2410
744	7014	2400
745	7023	2391
746	7033	2382
747	7044	2373
748	7054	2364
749	7063	2354
750	7074	2345
751	7084	2336
752	7093	2326
753	7103	2317
754	7112	2307
755	7121	2298
756	7130	2288
757	7138	2279
758	7147	2269
759	7156	2260
760	7165	2250
761	7174	2240
762	7183	2231
763	7193	2222
764	7202	2212
765	7211	2202
766	7220	2193
767	7229	2183
768	7238	2174
769	7247	2164
770	7256	2155
771	7266	2145
772	7275	2136
773	7284	2127
774	7293	2117
775	7303	2108
776	7312	2098
777	7321	2089
778	7330	2079
779	7340	2070
780	7349	2060
781	7359	2051
782	7369	2042
783	7379	2033
784	7390	2024
785	7400	2014
786	7409	2005
787	7419	1996
788	7428	1986
789	7437	1977
790	7446	1967
791	7455	1958
792	7464	1948
793	7473	1938
794	7484	1929
795	7495	1921
796	7507	1912
797	7518	1903
798	7527	1893
799	7537	1884
800	7546	1874
801	7556	1865
802	7566	1856
803	7576	1846
804	7586	1837
805	7597	1828
806	7607	1819
807	7617	1809
808	7626	1800
809	7636	1791
810	7646	1782
811	7658	1773
812	7668	1763
813	7677	1754
814	7688	1745
815	7698	1735
816	7708	1726
817	7720	1717
818	7731	1708
819	7741	1699
820	7751	1689
821	7761	1680
822	7771	1671
823	7781	1662
824	7791	1652
825	7802	1643
826	7814	1634
827	7824	1625
828	7834	1616
829	7844	1606
830	7854	1597
831	7864	1587
832	7874	1578
833	7883	1569
834	7896	1560
835	7909	1551
836	7919	1542
837	7930	1533
838	7940	1523
839	7951	1514
840	7961	1505
841	7971	1495
842	7981	1486
843	7991	1477
844	8001	1467
845	8011	1458
846	8021	1448
847	8031	1439
848	8040	1430
849	8049	1420
850	8059	1411
851	8069	1401
852	8078	1392
853	8088	1382
