iter	MultiClass
368	2.160773332
369	2.160589821
370	2.160404709
371	2.160275918
372	2.160143983
373	2.160051538
374	2.159904919
375	2.159736699
376	2.159607661
377	2.159377232
378	2.159179288
379	2.158971378
380	2.158830916
381	2.158646247
382	2.158518532
383	2.158337236
384	2.158147216
385	2.158042424
386	2.157900221
387	2.157749946
388	2.157533821
389	2.15733491
390	2.157165862
391	2.157071189
392	2.156930706
393	2.156763571
394	2.156624959
395	2.156448782
396	2.156343585
397	2.156123736
398	2.155972188
399	2.155826394
400	2.155657466
401	2.155495306
402	2.15535319
403	2.155202423
404	2.155089811
405	2.154963562
406	2.15479116
407	2.154700619
408	2.154472997
409	2.154325238
410	2.154223805
411	2.154069105
412	2.153911607
413	2.153773636
414	2.153665069
415	2.153527041
416	2.153412475
417	2.153280252
418	2.153125982
419	2.153015849
420	2.152808395
421	2.152683255
422	2.152511968
423	2.152398417
424	2.152214363
425	2.152073905
426	2.151808927
427	2.15168944
428	2.151531282
429	2.151365101
430	2.151233599
431	2.151081703
432	2.150887078
433	2.150804119
434	2.150690147
435	2.150493895
436	2.15035087
437	2.150253864
438	2.150167372
439	2.150067141
440	2.149930067
441	2.149787458
442	2.149641604
443	2.149454579
444	2.14932887
445	2.149135433
446	2.148950536
447	2.148798165
448	2.148670951
449	2.148477278
450	2.148378874
451	2.148173689
452	2.148053805
453	2.147820362
454	2.147662241
455	2.147506198
456	2.147383948
457	2.147217624
458	2.147061716
459	2.146859208
460	2.146738869
461	2.146562796
462	2.146388674
463	2.146167587
464	2.145984993
465	2.145814461
466	2.14561305
467	2.145466014
468	2.145404035
469	2.145178195
470	2.145023037
471	2.144862995
472	2.144688678
473	2.144566518
474	2.144426895
475	2.14430789
476	2.144190196
477	2.144071883
478	2.143925543
479	2.143797987
480	2.143657232
481	2.143497133
482	2.143367159
483	2.143191922
484	2.143069627
485	2.142886647
486	2.142756237
487	2.142573667
488	2.142446212
489	2.142356736
490	2.142196163
491	2.142018878
492	2.141915434
493	2.141712898
494	2.141620292
495	2.141464553
496	2.14134326
497	2.141210684
498	2.14107933
499	2.140909615
500	2.140694074
501	2.14054833
502	2.140355134
503	2.140166534
504	2.140063444
505	2.139967075
506	2.139880083
507	2.13972635
508	2.139541787
509	2.139417268
510	2.139247605
511	2.13906413
512	2.138931695
513	2.138775463
514	2.138676637
515	2.13857775
516	2.13847449
517	2.138301182
518	2.138196301
519	2.138040807
520	2.137891924
521	2.137707658
522	2.137511169
523	2.137432293
524	2.137314409
525	2.13721625
526	2.137086787
527	2.136891955
528	2.13668579
529	2.136565517
530	2.13645615
531	2.136288102
532	2.136119897
533	2.136000383
534	2.135834122
535	2.135740555
536	2.13559794
537	2.135445803
538	2.135322348
539	2.135226958
540	2.135096186
541	2.134958585
542	2.134858333
543	2.134752779
544	2.134658605
545	2.134489839
546	2.134346983
547	2.134245269
548	2.134094894
549	2.133966426
550	2.133845553
551	2.133638026
552	2.13349817
553	2.133351908
554	2.133230408
555	2.133021733
556	2.132892128
557	2.132696304
558	2.132561656
559	2.132397956
560	2.132191815
561	2.132089117
562	2.131993616
563	2.13186466
564	2.131691253
565	2.131520909
566	2.131279453
567	2.131141712
568	2.131011384
569	2.130866932
570	2.13070766
571	2.130575871
572	2.130470037
573	2.130365258
574	2.130290324
575	2.13015516
576	2.130038518
577	2.129891009
578	2.129731934
579	2.129610099
580	2.129453255
581	2.129328035
582	2.129217937
583	2.129025868
584	2.128952784
585	2.128819008
586	2.128690244
587	2.128524902
588	2.128402614
589	2.128271522
590	2.128067302
591	2.127962865
592	2.127872268
593	2.127746074
594	2.127558556
595	2.127416182
596	2.12732282
597	2.127189405
598	2.127073979
599	2.126933277
600	2.126812873
601	2.126645284
602	2.126505363
603	2.126367915
604	2.126244672
605	2.126078275
606	2.125937243
607	2.125850109
608	2.125720513
609	2.125583838
610	2.125460717
611	2.125356682
612	2.125218741
613	2.125093619
614	2.124998652
615	2.124896034
616	2.124761542
617	2.124601137
618	2.124501384
619	2.12437516
620	2.124266657
621	2.124149779
622	2.124036513
623	2.123865626
624	2.123663861
625	2.123516916
626	2.123416814
627	2.12331694
628	2.123107438
629	2.122937307
630	2.122818092
631	2.122674582
632	2.122534091
633	2.122423129
634	2.12229778
635	2.122170879
636	2.122028316
637	2.121925041
638	2.121723272
639	2.121637616
640	2.121533537
641	2.121355298
642	2.121211828
643	2.121110535
644	2.120968243
645	2.120887154
646	2.120777762
647	2.120670776
648	2.120565128
649	2.120367093
650	2.120220281
651	2.120091646
652	2.119991586
653	2.119924394
654	2.119832945
655	2.119682965
656	2.11957134
657	2.119439204
658	2.119317975
659	2.119149524
660	2.119068929
661	2.118954068
662	2.118872225
663	2.118750394
664	2.1186743
665	2.118476309
666	2.118371399
667	2.118174769
668	2.118023682
669	2.117893227
670	2.117774844
671	2.117606629
672	2.11744518
673	2.117286278
674	2.117215712
675	2.117080309
676	2.11699117
677	2.116835864
678	2.116710144
679	2.116633683
680	2.116530962
681	2.116411632
682	2.11627695
683	2.116113189
684	2.115988198
685	2.115888709
686	2.115723142
687	2.115600698
688	2.11538768
689	2.115269969
690	2.115211582
691	2.115028328
692	2.114879228
693	2.114774263
694	2.114678958
695	2.114604027
696	2.114424498
697	2.114283971
698	2.114190941
699	2.114010587
700	2.113954937
701	2.113807779
702	2.113728729
703	2.113525019
704	2.113392175
705	2.113205358
706	2.113068303
707	2.112952581
708	2.112800259
709	2.112590257
710	2.112444754
711	2.112268036
712	2.112167121
713	2.112024059
714	2.111907998
715	2.111752237
716	2.11161621
717	2.111521592
718	2.111434755
719	2.111348194
720	2.111218565
721	2.111130451
722	2.110969215
723	2.110877763
724	2.11076424
725	2.110646778
726	2.110569152
727	2.110461168
728	2.110353078
729	2.110235831
730	2.110069208
731	2.109932541
732	2.109873089
733	2.109701319
734	2.109565083
735	2.109466775
736	2.109286197
737	2.109177039
738	2.109044808
739	2.108863792
740	2.108782451
741	2.108676173
742	2.108543034
743	2.108448571
744	2.10829562
745	2.108205928
746	2.108121735
747	2.107960037
748	2.107833082
749	2.107718321
750	2.107594648
751	2.1075208
752	2.107385475
753	2.107282271
754	2.10719249
755	2.107049543
756	2.106941126
757	2.106830459
758	2.106727198
759	2.106590078
760	2.106399953
761	2.106261757
762	2.106111613
763	2.10600255
764	2.105931004
765	2.105848803
766	2.105743377
767	2.105635403
768	2.105512405
769	2.105390485
770	2.105243264
771	2.10512927
772	2.104989991
773	2.104887303
774	2.104807576
775	2.104673849
776	2.104580345
777	2.104463991
778	2.104359702
779	2.104280004
780	2.104130348
781	2.103944716
782	2.103810342
783	2.103671188
784	2.103546135
785	2.103430481
786	2.103332821
787	2.103147733
788	2.103028531
789	2.102860629
790	2.102692475
791	2.102544615
792	2.102450828
793	2.102341765
794	2.102252591
795	2.102149499
796	2.10197975
797	2.101861312
798	2.101754125
799	2.101653415
800	2.101497162
801	2.101386587
802	2.101235268
803	2.101138704
804	2.101023589
805	2.100901627
806	2.100757375
807	2.100627274
808	2.100493996
809	2.100361569
810	2.100209733
811	2.100077379
812	2.099942322
813	2.099874255
814	2.099789254
815	2.099667123
816	2.099594933
817	2.099492531
818	2.099427697
819	2.099313136
820	2.09919274
821	2.099079861
822	2.098932427
823	2.098826903
824	2.098707655
825	2.098629367
826	2.098539965
827	2.098439161
828	2.098276907
829	2.098165302
830	2.098078814
831	2.098019813
832	2.097920213
833	2.097765685
834	2.097594846
835	2.097435744
836	2.097306176
837	2.097192806
838	2.097050708
839	2.096955511
840	2.096820793
841	2.096646416
842	2.096573653
843	2.096400009
844	2.096313258
845	2.096187697
846	2.096099739
847	2.095929778
848	2.095835722
849	2.095728993
850	2.095602387
851	2.095506849
852	2.095354076
853	2.095221664
854	2.09511087
855	2.095009096
856	2.094882044
857	2.094764761
858	2.094648988
859	2.09457525
860	2.094447468
861	2.094330964
862	2.094186316
863	2.09407636
864	2.09398871
865	2.093878832
866	2.093764451
867	2.093703078
868	2.093590317
869	2.09351645
870	2.093409145
871	2.093275266
872	2.093127102
873	2.093032276
874	2.092903808
875	2.092779752
876	2.092699408
877	2.092565157
878	2.092401311
879	2.092319771
880	2.092249311
881	2.092173394
882	2.092049394
883	2.091936415
884	2.091819019
885	2.091691105
886	2.091602546
887	2.091470648
888	2.091366107
889	2.091198337
890	2.091092249
891	2.0909748
892	2.090814039
893	2.090651494
894	2.09050448
895	2.090379357
896	2.090290281
897	2.090182726
898	2.090125369
899	2.090044203
900	2.089924359
901	2.089774688
902	2.089679408
903	2.089579861
904	2.089500863
905	2.089425042
906	2.089326775
907	2.089226016
908	2.089166312
909	2.08902569
910	2.088925678
911	2.08879812
912	2.08869645
913	2.088628377
914	2.088522779
915	2.088421434
916	2.088294276
917	2.088184682
918	2.088105242
919	2.088007199
920	2.087940762
921	2.087839727
922	2.087685992
923	2.087566392
924	2.087491403
925	2.087387536
926	2.087329231
927	2.087241384
928	2.087137885
929	2.087016614
930	2.086876103
931	2.086729126
932	2.086638753
933	2.086563315
934	2.086461609
935	2.086393542
936	2.086299169
937	2.086189622
938	2.086062801
939	2.085962513
940	2.085819959
941	2.085701194
942	2.085611392
943	2.08553616
944	2.085427936
945	2.085289894
946	2.085168732
947	2.085087178
948	2.084916822
949	2.084760765
950	2.084681656
951	2.084620846
952	2.084457852
953	2.08435836
954	2.084201835
955	2.084092426
956	2.08403022
957	2.083885955
958	2.083802614
959	2.083726803
960	2.083654183
961	2.083590104
962	2.083506544
963	2.083414718
964	2.083317059
965	2.083230554
966	2.083074587
967	2.082948231
968	2.082854915
969	2.082753407
970	2.082646564
971	2.082561862
972	2.082446475
973	2.082299903
974	2.082193652
975	2.082075076
976	2.081967117
977	2.08186831
978	2.081742127
979	2.081583099
980	2.081517432
981	2.081428713
982	2.081279254
983	2.081104237
984	2.080922236
985	2.080802852
986	2.080666062
987	2.08055177
988	2.080437122
989	2.080354753
990	2.080273121
991	2.08015986
992	2.080015569
993	2.079855921
994	2.079749091
995	2.079592658
996	2.079482347
997	2.079400196
998	2.07932
999	2.079210682
